Code blocks (ofs  size  relocrecs  owner)
  0000  0435  0390  0000
  0008  0143  0128  002A
  0010  071D  04D8  0040
  0018  03F7  02C8  0072
  0020  0468  03B8  0098
  0028  053C  05C8  00CE
  0030  0547  03F0  0114
  0038  0298  0230  0143
  0040  02AF  0210  0164
  0048  0311  0258  0184
  0050  02CA  0228  01A6
  0058  095E  07E8  01C9
