Code relocation records:
--- block 0000 ---
  0000:0000 Relative Code unit=U00A9 blkoff=300B
  0000:0002 Relative Code unit=U00B3 blkoff=9016
  0000:0000 Relative Code unit=U00BB blkoff=300B
  0000:0004 Relative Code unit=U00C2 blkoff=9016
  0000:0000 Relative Code unit=U00CA blkoff=300B
  0000:000A Relative Code unit=U00D1 blkoff=9016
  0000:0000 Relative Code unit=U00D9 blkoff=300B
  0000:0006 Relative Code unit=U00E0 blkoff=9016
  0000:0000 Relative Code unit=U00E8 blkoff=300B
  0000:0008 Relative Code unit=U00EF blkoff=9016
  0000:0002 Relative Code unit=U00F7 blkoff=9016
  0000:0004 Relative Code unit=U00FB blkoff=9016
  0000:000A Relative Code unit=U0002 blkoff=9016
  0000:0006 Relative Code unit=U0009 blkoff=9016
  0000:0008 Relative Code unit=U0010 blkoff=9016
  0000:0000 Relative Code unit=U0017 blkoff=300B
  0000:000C Relative Code unit=U0021 blkoff=9016
  0000:0000 Relative Code unit=U0029 blkoff=300B
  0000:000E Relative Code unit=U0030 blkoff=9016
  0000:0000 Relative Code unit=U0038 blkoff=300B
  0000:0010 Relative Code unit=U003F blkoff=9016
  0000:0000 Relative Code unit=U0047 blkoff=300B
  0000:0000 Relative Code unit=U004E blkoff=9016
  0000:0000 Relative Code unit=U0056 blkoff=300B
  0000:0002 Relative Code unit=U005D blkoff=9016
  0000:000C Relative Code unit=U0065 blkoff=9016
  0000:000E Relative Code unit=U0069 blkoff=9016
  0000:0010 Relative Code unit=U0070 blkoff=9016
  0000:0000 Relative Code unit=U0077 blkoff=9016
  0000:0002 Relative Code unit=U007E blkoff=9016
  0000:0000 Relative Code unit=U0085 blkoff=300B
  0000:0000 Relative Code unit=U008F blkoff=9000
  0000:0000 Relative Code unit=U0097 blkoff=300B
  0000:0001 Relative Code unit=U009E blkoff=9000
  0000:0000 Relative Code unit=U00A6 blkoff=300B
  0000:0002 Relative Code unit=U00AD blkoff=9000
  0000:0000 Relative Code unit=U00B5 blkoff=300B
  0000:0003 Relative Code unit=U00BC blkoff=9000
  0000:0000 Relative Code unit=U00C4 blkoff=300B
  0000:0004 Relative Code unit=U00CB blkoff=9000
  0000:0000 Relative Code unit=U00D3 blkoff=9000
  0000:0001 Relative Code unit=U00D7 blkoff=9000
  0000:0002 Relative Code unit=U00DE blkoff=9000
  0000:0003 Relative Code unit=U00E5 blkoff=9000
  0000:0004 Relative Code unit=U00EC blkoff=9000
  0000:0000 Relative Code unit=U00F3 blkoff=300B
  0000:0005 Relative Code unit=U00FD blkoff=9000
  0000:0000 Relative Code unit=U0005 blkoff=300B
  0000:0006 Relative Code unit=U000C blkoff=9000
  0000:0000 Relative Code unit=U0014 blkoff=300B
  0000:0008 Relative Code unit=U001B blkoff=9000
  0000:0000 Relative Code unit=U0023 blkoff=300B
  0000:0007 Relative Code unit=U002A blkoff=9000
  0000:0000 Relative Code unit=U0032 blkoff=300B
  0000:0000 Relative Code unit=U0039 blkoff=9000
  0000:0005 Relative Code unit=U0041 blkoff=9000
  0000:0006 Relative Code unit=U0045 blkoff=9000
  0000:0008 Relative Code unit=U004C blkoff=9000
  0000:0007 Relative Code unit=U0053 blkoff=9000
  0000:0000 Relative Code unit=U005A blkoff=9000
  0000:0000 Relative Code unit=U0061 blkoff=300B
  0000:0004 Relative Code unit=U006B blkoff=9000
  0000:0000 Relative Code unit=U0073 blkoff=300B
  0000:0006 Relative Code unit=U007A blkoff=9000
  0000:0000 Relative Code unit=U0082 blkoff=300B
  0000:0008 Relative Code unit=U0089 blkoff=9000
  0000:0000 Relative Code unit=U0091 blkoff=300B
  0000:000A Relative Code unit=U0098 blkoff=9000
  0000:0004 Relative Code unit=U00A0 blkoff=9016
  0000:0006 Relative Code unit=U00A4 blkoff=9016
  0000:0008 Relative Code unit=U00AA blkoff=9016
  0000:000A Relative Code unit=U00B0 blkoff=9016
  0000:000C Relative Code unit=U00B6 blkoff=9016
  0000:000E Relative Code unit=U00BC blkoff=9016
  0000:0012 Relative Code unit=U00C2 blkoff=9016
  0000:0014 Relative Code unit=U00C8 blkoff=9016
  0000:0000 Relative Code unit=U00CE blkoff=300B
  0000:0000 Relative Code unit=U00D7 blkoff=9000
  0000:0000 Relative Code unit=U00DF blkoff=300B
  0000:0004 Relative Code unit=U00E6 blkoff=9000
  0000:0000 Relative Code unit=U00EE blkoff=300B
  0000:0002 Relative Code unit=U00F5 blkoff=9000
  0000:0000 Relative Code unit=U00FD blkoff=300B
  0000:0006 Relative Code unit=U0004 blkoff=9000
  0000:0000 Relative Code unit=U000C blkoff=300B
  0000:0008 Relative Code unit=U0013 blkoff=9000
  0000:0000 Relative Code unit=U001B blkoff=300B
  0000:000A Relative Code unit=Crt blkoff=9000
  0000:0000 Relative Code unit=U002A blkoff=300B
  0000:000E Relative Code unit=U0031 blkoff=9000
  0000:0000 Relative Code unit=U0039 blkoff=300B
  0000:0012 Relative Code unit=U0040 blkoff=9000
  0000:0000 Relative Code unit=U0048 blkoff=300B
  0000:0010 Relative Code unit=U004F blkoff=9000
  0000:0000 Relative Code unit=U0057 blkoff=300B
  0000:000C Relative Code unit=U005E blkoff=9000
  0000:0000 Relative Code unit=U0066 blkoff=300B
  0000:0014 Relative Code unit=U006D blkoff=9000
  0000:0000 Relative Code unit=U0075 blkoff=300B
  0000:000B Relative Code unit=U007C blkoff=9000
  0000:0000 Relative Code unit=U0084 blkoff=9000
  0000:0002 Relative Code unit=U0088 blkoff=9000
  0000:0004 Relative Code unit=U0092 blkoff=9000
  0000:0006 Relative Code unit=U009C blkoff=9000
  0000:0008 Relative Code unit=U00A6 blkoff=9000
  0000:000A Relative Code unit=U00B0 blkoff=9000
  0000:000E Relative Code unit=U00BA blkoff=9000
  0000:0012 Relative Code unit=U00C4 blkoff=9000
  0000:0000 Relative Code unit=U00CE blkoff=300B
  0000:0000 Relative Code unit=U00E9 blkoff=9000
  0000:0000 Relative Code unit=U00EE blkoff=5000
  0000:0000 Relative Code unit=U00F3 blkoff=300B
  0000:0100 Relative Code unit=U00F8 blkoff=900B
  0000:0007 Relative Code unit=U00FF blkoff=5000
  0000:0000 Relative Code unit=U0004 blkoff=300B
  0000:0000 Relative Code unit=U000C blkoff=300B
  0000:0000 Relative Code unit=U0011 blkoff=300B
  0000:0000 Relative Code unit=MONSTRA blkoff=9000
  0000:001B Relative Code unit=U001B blkoff=5000
  0000:0000 Relative Code unit=U0020 blkoff=300B
  0000:0016 Relative Code unit=U0025 blkoff=9000
  0000:0010 Relative Code unit=U002D blkoff=9000
  0000:0002 Relative Code unit=U0033 blkoff=9000
