; unit  block  +ofs  name                type
PRZEDM   0050   0002  SLUCHACZ             type=Shortint
PRZEDM   0050   0003  FAN                  type=Shortint
PRZEDM   0050   0004  CZLOWIEK             type=Shortint
PRZEDM   0050   0005  POLICJANT            type=Shortint
PRZEDM   0050   0006  OCHRONIARZ           type=Shortint
PRZEDM   0050   0007  DZIADEK              type=Shortint
PRZEDM   0050   0008  GORYL                type=Shortint
PRZEDM   0050   0009  PLECAK               type=Shortint
PRZEDM   0058   0000  REPORTER             type=Shortint
PRZEDM   0058   0001  PIGULKA              type=Shortint
PRZEDM   0058   0002  POTRAWKI             type=Shortint
PRZEDM   0058   0003  BIGOS                type=Shortint
PRZEDM   0058   0004  NOZYCE               type=Shortint
PRZEDM   0058   0005  LISTEK               type=Shortint
PRZEDM   0058   0006  POZIOM               type=Shortint
PRZEDM   0058   0007  POR                  type=Shortint
PRZEDM   0058   0008  FIREBALL             type=Shortint
PRZEDM   0058   0009  POISON               type=Shortint
PRZEDM   0058   000A  ILEPOI               type=Shortint
PRZEDM   0058   000B  DUNCAN               type=Shortint
PRZEDM   0058   000C  DUNQ                 type=Shortint
PRZEDM   0060   0000  JAKIEUB              type=string
PRZEDM   0060   0100  JAKABRON             type=string
PRZEDM   0060   0200  JAKATAR              type=string
PRZEDM   0068   0000  plik                 type=Text
PRZEDM   0070   0000  wpisz                type=string
